,date,time,device_id,bmp_temp_c,humidity_pct,pressure_hpa,heat_index
0,18-11-2025,06-00-00,DEVICE_001,18.85,59,1013.06,17.72
1,18-11-2025,06-00-00,DEVICE_002,21.25,49,1013.06,19.97
2,18-11-2025,06-00-00,DEVICE_003,20.05,54,1013.05,18.86
3,18-11-2025,06-01-2000,DEVICE_001,18.85,59,1013.06,17.72
4,18-11-2025,06-01-2000,DEVICE_002,21.25,49,1013.06,19.97
5,18-11-2025,06-01-2000,DEVICE_003,20.05,54,1013.05,18.86
6,18-11-2025,06-02-2000,DEVICE_001,18.72,59,1013.06,17.56
7,18-11-2025,06-02-2000,DEVICE_002,21.12,49,1013.06,19.8
8,18-11-2025,06-02-2000,DEVICE_003,19.92,54,1013.05,18.7
9,18-11-2025,06-03-2000,DEVICE_001,18.85,59,1013.06,17.72
10,18-11-2025,06-03-2000,DEVICE_002,21.25,49,1013.06,19.97
11,18-11-2025,06-03-2000,DEVICE_003,20.05,54,1013.05,18.86
12,18-11-2025,06-04-2000,DEVICE_001,18.76,59,1013.06,17.61
13,18-11-2025,06-04-2000,DEVICE_002,21.16,49,1013.06,19.85
14,18-11-2025,06-04-2000,DEVICE_003,19.96,54,1013.05,18.75
15,18-11-2025,06-05-2000,DEVICE_001,18.79,59,1013.06,17.64
16,18-11-2025,06-05-2000,DEVICE_002,21.19,49,1013.06,19.89
17,18-11-2025,06-05-2000,DEVICE_003,19.99,54,1013.05,18.79
18,18-11-2025,06-06-2000,DEVICE_001,18.73,59,1013.06,17.57
19,18-11-2025,06-06-2000,DEVICE_002,21.13,49,1013.06,19.82
20,18-11-2025,06-06-2000,DEVICE_003,19.93,54,1013.05,18.71
21,18-11-2025,06-07-2000,DEVICE_001,18.77,59,1013.06,17.62
22,18-11-2025,06-07-2000,DEVICE_002,21.17,49,1013.06,19.87
23,18-11-2025,06-07-2000,DEVICE_003,19.97,54,1013.05,18.76
24,18-11-2025,06-08-2000,DEVICE_001,18.9,59,1013.06,17.78
25,18-11-2025,06-08-2000,DEVICE_002,21.3,49,1013.06,20.03
26,18-11-2025,06-08-2000,DEVICE_003,20.15,54,1013.05,18.99
27,18-11-2025,06-09-2000,DEVICE_001,18.86,59,1013.06,17.73
28,18-11-2025,06-09-2000,DEVICE_002,21.15,49,1013.06,19.84
29,18-11-2025,06-09-2000,DEVICE_003,20.11,54,1013.05,18.94
30,18-11-2025,06-10-2000,DEVICE_001,18.89,59,1013.06,17.77
31,18-11-2025,06-10-2000,DEVICE_002,21.18,49,1013.06,19.88
32,18-11-2025,06-10-2000,DEVICE_003,20.14,54,1013.05,18.97
33,18-11-2025,06-11-2000,DEVICE_001,18.75,59,1013.06,17.59
34,18-11-2025,06-11-2000,DEVICE_002,21.04,49,1013.06,19.7
35,18-11-2025,06-11-2000,DEVICE_003,20,54,1013.05,18.8
36,18-11-2025,06-12-2000,DEVICE_001,18.86,59,1013.05,17.73
37,18-11-2025,06-12-2000,DEVICE_002,21.15,49,1013.05,19.84
38,18-11-2025,06-12-2000,DEVICE_003,20.11,54,1013.05,18.94
39,18-11-2025,06-13-00,DEVICE_001,18.77,59,1013.05,17.62
40,18-11-2025,06-13-00,DEVICE_002,21.06,49,1013.05,19.73
